ID,From_BP,ToBP
CO1,4853,4649
IR1,2928,2784
StoraForvar11,7500,7250
Ajvide52,4900,4600
Ajvide53,4900,4600
Ajvide58,4900,4600
Ajvide59,4900,4600
Ajvide70,4900,4600
Gokhem2,5050,4750
Gokhem4,5280,4890
Gokhem5,5050,4890
Gokhem7,5050,4890
Ire8,5100,4150
Iceman,5350,5100
I0011,7848,7481
I0012,7848,7481
I0013,7848,7481
I0014,7848,7481
I0015,7848,7481
I0016,7848,7481
I0017,7848,7481
I0022,7450,6750
I0025,7450,6750
I0026,7450,6750
I0046,7156,6954
I0047,3972,3887
I0048,7156,7002
I0049,4404,4241
I0054,7159,7020
I0056,7156,7002
I0057,7157,7017
I0058,4233,4096
I0059,4236,4103
I0060,4244,4156
I0061,7450,6950
I0099,3063,2971
I0100,6982,6896
I0103,4516,4427
I0104,4423,4298
I0106,4404,4241
I0108,4447,4386
I0111,4364,4283
I0112,4290,4140
I0113,4240,4080
I0114,4081,3929
I0115,3881,3730
I0116,4068,3911
I0117,4149,4014
I0118,4409,4295
I0124,7600,7505
I0164,3962,3869
I0171,4154,4086
I0172,5310,5036
I0174,7660,7500
I0176,7160,6890
I0231,4860,4825
I0357,5040,4860
I0370,5250,4650
I0405,5850,5550
I0406,5850,5550
I0407,5850,5550
I0408,5850,5550
I0409,7261,7168
I0410,7261,7168
I0411,7128,7016
I0412,7127,7018
I0413,8260,7156
I0429,5289,4867
I0438,4971,4585
I0439,5255,4875
I0441,4960,4572
I0443,5250,4650
I0444,5250,4650
I0550,4514,4425
I0559,5595,5487
I0560,5590,5460
I0659,7029,6947
I0795,7157,7020
I0803,4065,3916
I0804,4081,3932
I0806,4246,4156
I0807,5837,5747
Loschbour,8170,7940
Stuttgart,7450,6750
Kostenki14,38700,36200
I0235,3800,3550
I0234,3800,3550
I0421,3800,3550
I0431,3800,3550
I0430,3800,3550
I0424,3800,3550
I0354,3966,3642
I0371,4825,4530
I0126,4817,4434
I0440,4835,4615
I0432,4875,4486
I0418,4075,3994
I0419,4150,3850
I0246,4419,3878
I0434,7150,5950
I0433,7150,5950
I0122,7150,5950
I0232,3800,3150
I0360,3800,3150
I0358,3863,3579
I0361,3800,3150
I0359,3800,3150
I1282,4830,4580
I1302,4830,4580
I1276,4830,4580
I1284,4830,4580
I1274,4830,4580
I1280,4830,4580
I1314,4830,4580
I1277,4780,4770
I1272,4830,4780
I1281,4845,4805
I1300,4830,4580
I0585,7940,7690
I1546,4450,4000
I0805,4417,4092
I1530,4295,4148
I1542,4450,4000
I1536,4450,4000
I1544,4450,4000
I1538,4450,4000
I1539,4575,4241
I1534,4450,4000
I1540,4450,4000
I1541,4450,4000
I1532,4450,4000
I0211,7450,6950
I0797,7450,6725
I0551,5350,4975
I1508,7663,7516
I1500,7245,6900
I1100,8450,8150
I1102,8450,8150
I1099,8450,8150
I1103,8450,8150
I1101,8450,8150
I1097,8450,8150
I0744,8450,8150
I1579,8450,8150
I1581,8450,8150
I1096,8450,8150
I1580,8450,8150
I1098,8450,8150
I1585,8450,8150
I0708,8450,8150
I0745,8450,8150
I0746,8450,8150
I1583,8450,8150
I0707,8450,8150
I0709,8450,8150
I0725,8350,7550
I0727,8350,7550
I0724,8350,7550
I0736,8450,8150
I1499,7231,6976
I1502,4144,3927
I1497,7239,7004
I1495,6441,6307
I1498,7241,7006
I1507,7731,7596
I1504,3216,3061
I1506,7256,7021
I1496,7161,6942
I1505,7161,6961
RISE00,4750,4250
RISE47,3449,3274
RISE61,4801,4442
RISE71,4146,3973
RISE94,4571,4422
RISE97,3975,3835
RISE98,4225,3982
RISE109,3904,3722
RISE150,3835,3643
RISE154,3875,3715
RISE175,3345,3082
RISE179,3960,3726
RISE210,3382,3242
RISE240,4830,4582
RISE247,3696,3561
RISE254,4078,3859
RISE276,2744,2497
RISE349,3984,3734
RISE371,4086,3891
RISE373,3836,3646
RISE374,3816,3569
